Category,Language,Aspects,Count
PostDoc,English,academia___career,33
PostDoc,German,stelle___wissenschaft,32
PostDoc,English,time___work,32
PostDoc,German,thema___wissenschaft,32
PostDoc,German,problem___wissenschaft,32
PostDoc,German,forschung___lehre,32
Unknown,German,arbeitsbedingung___wissenschaft,32
PostDoc,German,forschung___zeit,32
PhD Student,German,jahr___promotion,32
Unknown,German,jahr___stelle,32
PhD Student,German,jahr___uni,32
PostDoc,English,academia___time,32
Others,German,arbeitsbedingung___wissenschaftler,32
Unknown,German,jahr___zeit,31
Unknown,German,forschung___jahr,31
PostDoc,German,mensch___wissenschaft,31
Professor,German,jahr___postdoc,31
PostDoc,German,jahr___projekt,30
PostDoc,English,research___work,30
PostDoc,English,academia___condition,30
PostDoc,German,monat___vertrag,30
Professor,German,jahr___system,30
Others,German,thema___wissenschaft,29
PostDoc,German,jahr___kind,29
Others,German,forschung___hochschule,29
Others,German,vertrag___wissenschaftler,29
Professor,German,postdoc___promotion,29
Professor,German,problem___wissenschaft,29
PostDoc,German,arbeit___uni,29
PostDoc,German,system___wissenschaftler,29
Others,German,uni___vertrag,28
Unknown,German,arbeit___wissenschaft,28
Others,German,forschung___uni,28
PostDoc,German,bund___land,28
Unknown,German,forschung___wissenschaft,28
PostDoc,German,jahr___professur,28
PostDoc,German,forschung___uni,28
Professor,German,jahr___monat,28
Professor,English,academic___contract,28
Professor,English,contract___term,27
Others,German,forschung___jahr,27
Others,German,bildung___forschung,27
Unknown,German,mensch___wissenschaft,27
PostDoc,English,postdoc___year,27
Professor,English,academic___work,27
Unknown,German,arbeit___jahr,27
PostDoc,English,job___year,27
PostDoc,German,arbeit___jahr,27
Unknown,English,academia___work,27
PostDoc,English,academia___research,27
PostDoc,German,deutschland___wissenschaft,27
PostDoc,German,hanna___jahr,27
PostDoc,German,wissenschaft___wissenschaftler,26
PostDoc,English,academic___research,26
Professor,English,academia___work,26
PostDoc,English,academia___job,26
PostDoc,English,job___work,26
Others,German,deutschland___wissenschaft,26
Others,German,forschung___wissenschaftler,26
PostDoc,German,deutschland___jahr,26
Unknown,German,jahr___monat,26
Professor,German,arbeitsbedingung___wissenschaftler,26
PostDoc,English,academic___contract,26
Professor,German,promotion___wissenschaft,26
PostDoc,German,deutschland___wissenschaftler,26
Professor,German,forschung___hochschule,26
Others,German,jahr___zeit,25
PostDoc,German,problem___uni,25
PostDoc,English,change___system,25
PostDoc,English,academia___system,25
PostDoc,German,problem___wissenschaftler,25
Others,German,uni___wissenschaftler,25
Professor,German,forschung___wissenschaftler,25
PostDoc,English,academic___precarity,25
Professor,English,work___year,25
Professor,English,contract___year,25
PostDoc,German,jahr___leute,25
PostDoc,English,academia___precarity,25
Professor,English,academic___year,25
Others,German,system___wissenschaft,25
PostDoc,English,germany___work,25
PostDoc,English,people___system,25
Others,German,arbeit___hochschule,24
Professor,German,perspektive___wissenschaft,24
PostDoc,German,wissenschaft___zeit,24
PostDoc,English,germany___position,24
Others,German,wissenschaft___zeit,24
PostDoc,German,promotion___uni,24
PostDoc,German,befristung___jahr,24
Others,German,vertrag___wissenschaft,24
PostDoc,English,career___researcher,24
PostDoc,English,academic___year,24
PostDoc,English,system___work,24
Professor,German,forschung___jahr,23
Professor,German,arbeit___jahr,23
PostDoc,English,position___year,23
Others,German,wissenschaftler___wissenschaftlerin,23
PostDoc,German,promotion___wissenschaft,23
PostDoc,German,arbeit___zeit,23
Professor,English,academic___position,23
Professor,German,forschung___system,23
PostDoc,German,deutschland___forschung,23
Professor,German,beruf___wissenschaft,23
Others,German,mensch___wissenschaft,23
Unknown,German,promotion___wissenschaft,23
PostDoc,English,academia___researcher,23
PostDoc,German,uni___wissenschaft,23
PhD Student,German,jahr___wissenschaft,22
Others,English,career___researcher,22
Unknown,German,job___uni,22
PostDoc,German,bildung___forschung,22
Professor,English,academia___year,22
PostDoc,German,uni___wissenschaftler,22
Professor,German,system___wissenschaftler,22
Professor,English,germany___system,22
PostDoc,German,perspektive___wissenschaft,22
Professor,German,hanna___wissenschaft,22
PostDoc,English,work___year,22
Unknown,English,academia___germany,22
PostDoc,English,career___work,22
Professor,German,professur___promotion,22
Unknown,German,jahr___studium,22
Professor,German,leute___uni,21
Unknown,German,jahr___wissenschaftler,21
PostDoc,German,postdoc___wissenschaft,21
PostDoc,German,vertrag___wissenschaft,21
PostDoc,German,arbeit___hochschule,21
PhD Student,German,jahr___vertrag,21
PostDoc,German,arbeit___forschung,21
PostDoc,German,professur___wissenschaftler,21
Professor,German,jahr___wissenschaftler,21
Others,German,forschung___lehre,21
Professor,English,position___year,21
Others,German,arbeit___jahr,21
PostDoc,German,jahr___nachwuchs,21
PostDoc,German,leute___uni,21
PostDoc,English,academic___term,21
PostDoc,English,time___year,21
Professor,German,hanna___jahr,21
PostDoc,English,position___research,21
Unknown,German,jahr___professur,21
Unknown,German,monat___vertrag,21
Unknown,German,geld___wissenschaft,21
PostDoc,German,jahr___universität,21
PostDoc,English,position___postdoc,21
Professor,German,befristung___wissenschaft,21
PostDoc,German,postdoc___stelle,20
PostDoc,German,forschung___system,20
PostDoc,German,tweet___woche,20
PostDoc,German,postdoc___promotion,20
Professor,German,jahr___kollege,20
Professor,German,problem___uni,20
Professor,English,time___year,20
PostDoc,English,life___work,20
Unknown,English,passport___scholar,20
PostDoc,German,stelle___uni,20
PostDoc,English,job___time,20
PostDoc,English,job___research,20
PostDoc,English,academia___scholar,20
PostDoc,German,jahr___problem,20
Professor,German,wissenschaft___wissenschaftssystem,20
Others,German,uni___wissenschaft,20
Professor,German,thema___wissenschaft,20
Unknown,German,deutschland___wissenschaft,20
PostDoc,German,leute___wissenschaft,20
Professor,German,uni___wissenschaft,20
Others,German,jahr___mensch,20
Professor,German,leute___wissenschaft,20
Others,German,hanna___wissenschaft,20
Others,German,monat___vertrag,20
Professor,German,postdoc___professur,20
PostDoc,German,mensch___uni,20
Professor,German,deutschland___wissenschaft,20
Professor,English,academic___research,20
PostDoc,German,hanna___wissenschaft,20
PostDoc,English,academic___people,20
Unknown,German,hanna___jahr,20
Professor,German,postdoc___stelle,20
Others,German,jahr___system,20
PostDoc,English,academia___position,20
Professor,German,uni___vertrag,20
PostDoc,German,gesellschaft___wissenschaft,20
PostDoc,German,jahr___perspektive,20
PostDoc,English,university___work,19
PostDoc,English,academia___change,19
PostDoc,English,academia___life,19
Professor,German,professur___stelle,19
Unknown,German,promotion___uni,19
Others,German,arbeit___uni,19
PostDoc,German,jahr___thema,19
Professor,German,leute___system,19
Professor,English,academia___system,19
Unknown,German,thema___wissenschaft,19
Others,German,hochschule___land,19
PostDoc,German,forschung___hochschule,19
Professor,English,academic___university,19
Professor,English,career___germany,19
Unknown,German,karriere___wissenschaft,19
Others,German,hochschule___wissenschaftler,19
PostDoc,English,germany___postdoc,19
PostDoc,German,system___uni,19
Others,German,befristung___jahr,19
PostDoc,English,research___time,19
PostDoc,English,career___year,19
Professor,German,arbeit___uni,19
PostDoc,English,research___year,19
Unknown,German,system___uni,19
PostDoc,German,hanna___uni,19
PostDoc,German,universität___wissenschaft,19
Unknown,German,jahr___job,19
Unknown,German,jahr___kind,19
PostDoc,German,jahr___job,19
PostDoc,German,arbeitsbedingung___jahr,19
Unknown,German,problem___uni,19
Others,German,jahr___monat,19
Professor,English,job___year,19
PostDoc,English,scientist___work,19
Professor,German,arbeit___forschung,19
Unknown,German,arbeitsvertrag___jahr,19
PostDoc,English,contract___researcher,19
Others,German,arbeitsbedingung___uni,19
PostDoc,English,term___year,19
PostDoc,English,academia___term,19
PostDoc,German,professor___wissenschaft,19
PostDoc,German,bedingung___wissenschaft,18
Professor,German,professur___wissenschaft,18
PostDoc,German,forschung___innovation,18
Professor,English,germany___position,18
Professor,English,academic___people,18
Professor,English,academia___time,18
PostDoc,German,arbeitsvertrag___jahr,18
Professor,German,forschung___innovation,18
Professor,English,academia___job,18
Professor,English,academia___contract,18
Professor,German,wissenschaft___zeit,18
PostDoc,English,university___year,18
Professor,German,hochschule___wissenschaft,18
Unknown,German,bildung___forschung,18
Professor,German,forschung___stelle,18
Others,German,arbeitsbedingung___forschung,18
PostDoc,German,befristung___wissenschaft,18
Unknown,German,jahr___system,18
Unknown,German,leute___uni,18
Unknown,German,forschung___uni,18
PostDoc,German,postdoc___uni,18
PostDoc,German,kind___wissenschaft,18
Others,German,arbeit___forschung,18
Professor,German,lösung___problem,18
Others,English,contract___researcher,18
PostDoc,German,leute___system,18
Others,German,uhr___wissenschaft,18
Unknown,German,wissenschaft___wissenschaftler,18
Professor,German,mensch___wissenschaft,18
Others,German,problem___wissenschaft,18
PostDoc,German,professor___system,18
Unknown,German,uni___wissenschaft,18
Unknown,German,problem___wissenschaft,18
PostDoc,English,germany___research,18
PostDoc,English,academia___postdoc,18
PostDoc,English,academic___university,18
Unknown,German,jahr___mensch,18
Unknown,German,forschung___zeit,18
PostDoc,English,academic___change,18
PostDoc,English,germany___term,18
PhD Student,German,arbeitsbedingung___wissenschaft,18
PostDoc,German,geld___jahr,18
PostDoc,English,academic___problem,18
PostDoc,English,academic___time,18
Others,German,debatte___wissenschaft,18
PostDoc,English,academic___position,18
Others,German,deutschland___wissenschaftler,17
PostDoc,English,postdoc___work,17
Professor,German,jahr___track,17
PhD Student,German,jahr___stelle,17
Professor,English,time___work,17
PostDoc,German,hochschule___jahr,17
PostDoc,English,people___work,17
PostDoc,German,uni___zeit,17
Professor,German,perspektive___promotion,17
Unknown,German,jahr___problem,17
PostDoc,English,position___system,17
PostDoc,German,diskussion___wissenschaft,17
Professor,German,promotion___zeit,17
PostDoc,English,change___work,17
Others,German,job___wissenschaft,17
Professor,German,arbeitsbedingung___forschung,17
Professor,English,academia___germany,17
Others,German,beschäftigung___wissenschaft,17
PostDoc,English,contract___research,17
PhD Student,English,academia___germany,17
Unknown,German,jahr___woche,17
Unknown,German,bildung___wissenschaft,17
Professor,German,stelle___system,17
Professor,German,ausland___jahr,17
Others,German,arbeitsvertrag___jahr,17
Professor,German,professur___track,17
Others,German,uhr___uni,17
Professor,German,jahr___kind,17
Professor,German,befristung___jahr,17
PostDoc,English,germany___time,17
Professor,German,promotion___stelle,17
Others,German,hochschule___mittelbau,17
Unknown,German,jahr___leute,17
Professor,English,germany___research,17
Others,German,mensch___problem,17
PostDoc,German,forschung___wissenschaftler,17
Unknown,German,uni___vertrag,17
PostDoc,English,researcher___work,17
Unknown,English,germany___work,17
Others,German,befristung___wissenschaft,17
Professor,German,hochschule___wissenschaftler,17
Professor,German,arbeitsbedingung___hochschule,17
Professor,English,academia___people,16
Professor,English,academia___position,16
Others,German,forschung___zeit,16
PostDoc,English,system___year,16
PostDoc,English,academic___postdoc,16
PostDoc,English,academic___researcher,16
PostDoc,English,academic___life,16
Professor,English,academia___researcher,16
Professor,German,politik___wissenschaft,16
PostDoc,English,career___germany,16
Professor,German,hochschule___jahr,16
PostDoc,English,academia___science,16
PostDoc,German,lehre___zeit,16
PostDoc,English,scholar___work,16
PostDoc,German,arbeitsbedingung___wissenschaftler,16
Professor,English,contract___germany,16
PostDoc,English,problem___system,16
Professor,German,postdoc___uni,16
PostDoc,German,leute___problem,16
PostDoc,English,researcher___year,16
PostDoc,English,research___system,16
Professor,German,arbeit___system,16
PostDoc,German,arbeit___wissenschaftler,16
Professor,German,deutschland___jahr,16
Professor,German,uni___zeit,16
Others,German,politik___wissenschaft,16
Professor,German,jahr___karriere,16
Others,English,contract___research,16
Professor,German,stelle___uni,16
PostDoc,German,promotion___stelle,16
PostDoc,German,forderung___realität,16
PostDoc,English,people___research,16
Unknown,German,job___wissenschaft,16
PostDoc,German,situation___wissenschaftler,16
PostDoc,English,germany___system,16
Professor,German,professur___zeit,16
Others,German,mittelbau___uni,16
Unknown,German,uni___wissenschaftler,16
Others,German,perspektive___wissenschaftler,16
Others,English,academia___job,16
PostDoc,English,condition___research,16
PostDoc,German,forschung___vertrag,16
PhD Student,German,jahr___zeit,16
Unknown,German,job___studium,16
PostDoc,German,befristung___uni,16
Professor,German,jahr___leute,16
Unknown,German,deutschland___wissenschaftler,16
Others,German,jahr___wissenschaftler,16
PostDoc,German,kind___vertrag,15
Unknown,English,passport___work,15
PostDoc,German,forschung___thema,15
PostDoc,English,academia___discussion,15
PostDoc,German,folge___forderung,15
Unknown,German,familie___jahr,15
Professor,English,contract___work,15
Others,German,arbeitsbedingung___thema,15
PostDoc,German,befristung___promotion,15
PostDoc,English,academia___thing,15
Professor,German,frau___wissenschaft,15
PostDoc,English,science___work,15
PostDoc,German,projekt___zeit,15
PostDoc,German,artikel___wissenschaft,15
PostDoc,German,forschung___geld,15
PostDoc,English,academic___thread,15
PostDoc,German,forschung___postdoc,15
PostDoc,German,jahr___kollege,15
PostDoc,English,academia___university,15
Professor,German,entfristung___promotion,15
PostDoc,German,bundestag___stunde,15
Professor,English,germany___year,15
PostDoc,English,term___work,15
Professor,English,position___university,15
PostDoc,German,hanna___problem,15
PostDoc,English,contract___time,15
Unknown,German,promotion___zeit,15
Others,English,contract___time,15
Professor,English,system___work,15
PostDoc,German,arbeitsbedingung___hochschule,15
PostDoc,German,job___wissenschaft,15
Others,German,uni___zeit,15
PostDoc,English,research___researcher,15
Professor,English,postdoc___year,15
Professor,German,antrag___jahr,15
PostDoc,German,arbeitsbedingung___uni,15
Professor,German,mensch___system,15
Professor,German,antrag___forschung,15
Others,German,jahr___projekt,15
PhD Student,German,wissenschaft___wissenschaftler,15
Others,German,studium___uni,15
PhD Student,German,uni___vertrag,15
Professor,German,debatte___wissenschaft,15
PostDoc,German,hochschule___wissenschaft,15
Unknown,English,academia___passport,15
Professor,German,problem___stelle,15
PostDoc,German,hochschule___wissenschaftler,15
Professor,German,problem___professur,15
Unknown,German,geld___uni,15
Professor,English,academic___term,15
Others,German,universität___wissenschaft,15
Unknown,German,arbeitsbedingung___uni,15
Professor,German,system___uni,14
PostDoc,German,beitrag___debatte,14
PostDoc,English,academia___thread,14
Others,German,innovation___wissenschaft,14
Others,English,contract___year,14
Professor,English,academia___career,14
Professor,English,academic___colleague,14
Others,German,hochschule___uni,14
Unknown,German,jahr___postdoc,14
Others,German,leute___wissenschaft,14
PostDoc,English,academia___problem,14
Others,German,nachwuchs___wissenschaft,14
Others,German,hochschule___jahr,14
Others,German,mensch___system,14
Others,German,arbeitsbedingung___mittelbau,14
Professor,German,forschung___mensch,14
Professor,German,stelle___wissenschaft,14
Unknown,German,jahr___wirtschaft,14
PostDoc,English,job___position,14
Professor,German,jahr___problem,14
Others,German,jahr___job,14
Others,German,jahr___thema,14
PostDoc,German,mittelbau___uni,14
PhD Student,German,arbeit___jahr,14
PostDoc,English,student___work,14
Others,German,arbeitsbedingung___universität,14
PostDoc,German,arbeit___thema,14
Unknown,German,befristung___jahr,14
Professor,German,reform___wissenschaft,14
PostDoc,English,contract___university,14
PostDoc,German,thread___wissenschaft,14
Others,German,deutschland___jahr,14
PostDoc,German,problem___system,14
PostDoc,German,thema___uni,14
Unknown,German,forschung___mensch,14
PostDoc,German,problem___zeit,14
PostDoc,German,professor___universität,14
Unknown,German,uni___zeit,14
PostDoc,German,professor___wissenschaftler,14
Unknown,English,academia___research,14
PostDoc,German,professur___stelle,14
PostDoc,German,studium___uni,14
PostDoc,German,forschung___professur,14
PostDoc,German,folge___realität,14
PostDoc,German,reform___wissenschaft,14
Unknown,German,mensch___system,14
PostDoc,German,forschung___problem,14
PostDoc,English,germany___scientist,14
PostDoc,German,forschung___mittelbau,14
PostDoc,German,forschung___leute,14
PostDoc,German,forschung___mensch,14
PostDoc,German,wissenschaftler___zeit,14
Unknown,German,arbeitsbedingung___wissenschaftler,14
Professor,English,people___work,14
Others,German,wissenschaft___zukunft,14
Others,German,arbeitsverhältnis___wissenschaft,14
Unknown,German,stunde___wissenschaft,14
Professor,English,job___work,14
Unknown,German,leute___wissenschaft,14
Others,German,befristung___wissenschaftler,14
Professor,German,hanna___uni,14
Professor,German,professur___uni,14
Professor,German,arbeit___wissenschaftler,14
Unknown,German,hanna___wissenschaft,14
PostDoc,English,research___university,14
PostDoc,German,hochschule___land,14
Professor,German,geld___system,14
PostDoc,German,hanna___system,14
Others,English,academia___contract,14
Others,German,jahr___land,14
PostDoc,German,lehre___uni,14
Unknown,English,people___work,13
PostDoc,German,arbeit___geld,13
Others,German,kollege___uni,13
Others,German,postdoc___wissenschaft,13
Others,German,stelle___wissenschaft,13
Professor,English,germany___researcher,13
Professor,German,geld___wissenschaft,13
Professor,German,jahr___mensch,13
Others,German,thema___uhr,13
Professor,German,forschung___uni,13
Others,German,perspektive___wissenschaft,13
Professor,German,jahr___mitarbeiter,13
PostDoc,German,antrag___projekt,13
Others,German,arbeitsbedingung___debatte,13
Professor,English,position___postdoc,13
PD,German,jahr___vertrag,13
PD,German,professur___wissenschaft,13
Others,German,stelle___uni,13
Professor,German,karriere___wissenschaft,13
Professor,German,perspektive___postdoc,13
Others,German,arbeit___kollege,13
Professor,German,promotion___vertrag,13
Professor,English,contract___position,13
Unknown,German,politik___wissenschaft,13
Others,German,jahr___problem,13
Professor,German,forschung___professur,13
Unknown,German,problem___promotion,13
Professor,German,gesellschaft___wissenschaft,13
Professor,English,contract___university,13
Others,German,jahr___postdoc,13
Others,German,leute___uni,13
PhD Student,German,uni___zeit,13
Professor,German,entscheidung___wissenschaft,13
PostDoc,German,jahr___mitarbeiter,13
Others,English,germany___researcher,13
PostDoc,English,system___way,13
PostDoc,German,promotion___wissenschaftler,13
Unknown,German,chance___jahr,13
PostDoc,German,nachwuchs___system,13
Professor,German,bedingung___wissenschaft,13
Unknown,German,befristung___wissenschaft,13
PostDoc,German,jahr___studium,13
Unknown,German,befristung___uni,13
Professor,German,wissenschaftler___zeit,13
PostDoc,English,position___university,13
Unknown,German,jahr___perspektive,13
PostDoc,English,position___work,13
PostDoc,German,perspektive___postdoc,13
Unknown,German,hochschule___jahr,13
PostDoc,German,dis___jahr,13
PostDoc,German,uni___universität,13
PostDoc,German,lösung___problem,13
Others,German,forschung___vertrag,13
PostDoc,English,research___term,13
Professor,German,arbeit___problem,13
PostDoc,English,career___research,13
Unknown,German,arbeitsbedingung___hochschule,13
PostDoc,English,academia___way,13
PostDoc,English,academic___condition,13
PostDoc,German,drittmittel___jahr,13
PostDoc,German,forschung___perspektive,13
PostDoc,German,familie___kind,13
PostDoc,English,germany___researcher,13
PostDoc,German,perspektive___promotion,13
PostDoc,English,contract___job,13
PostDoc,German,postdoc___professur,13
Unknown,German,forschung___wissenschaftler,13
Professor,English,academic___time,13
Others,German,deutschland___forschung,13
PostDoc,German,problem___wissenschaftssystem,13
PostDoc,German,beschäftigung___wissenschaft,13
PostDoc,German,frage___wissenschaft,13
PostDoc,German,politik___wissenschaft,13
PostDoc,German,perspektive___wissenschaftler,13
Unknown,German,forschung___geld,13
Others,English,contract___job,13
PostDoc,German,forschung___stelle,13
PostDoc,German,innovation___wissenschaft,13
PostDoc,German,gesetz___wissenschaft,12
PostDoc,German,vertrag___zeit,12
Professor,German,entfristung___professur,12
Others,German,befristung___uni,12
PostDoc,English,job___term,12
Unknown,English,work___year,12
Unknown,German,stelle___uni,12
Unknown,German,vertrag___wissenschaftler,12
Unknown,German,hochschule___wissenschaft,12
PhD Student,German,monat___vertrag,12
PostDoc,German,universität___wissenschaftler,12
PhD Student,German,system___wissenschaft,12
Others,German,erfahrung___wissenschaft,12
PostDoc,English,germany___job,12
Unknown,German,forschung___vertrag,12
PostDoc,German,arbeit___woche,12
PhD Student,German,jahr___professur,12
Unknown,German,mensch___uni,12
Unknown,German,vertrag___zeit,12
Unknown,German,professur___uni,12
Others,German,jahr___universität,12
PostDoc,English,condition___researcher,12
Others,German,uni___verwaltung,12
PostDoc,English,germany___precarity,12
PostDoc,English,germany___people,12
PostDoc,English,change___people,12
PhD Student,German,forschung___jahr,12
PostDoc,German,professur___system,12
PostDoc,German,drittmittel___wissenschaft,12
PostDoc,German,familie___jahr,12
PostDoc,English,condition___germany,12
PD,German,system___wissenschaft,12
Others,German,karriere___wissenschaft,12
Professor,German,promotion___track,12
PostDoc,English,people___problem,12
PostDoc,German,stunde___wissenschaft,12
Professor,German,professur___system,12
Unknown,English,academia___scholar,12
PostDoc,German,mittelbau___problem,12
PostDoc,German,arbeit___kollege,12
PostDoc,German,perspektive___uni,12
Professor,German,jahr___studium,12
Others,German,arbeitsbedingung___studium,12
Others,German,diskussion___wissenschaft,12
PostDoc,English,people___year,12
Unknown,German,tag___woche,12
Unknown,German,hanna___kind,12
PostDoc,German,nachwuchs___wissenschaft,12
PostDoc,English,change___position,12
PostDoc,English,position___time,12
PostDoc,German,tag___wissenschaft,12
Professor,English,research___researcher,12
PostDoc,English,contract___life,12
Others,German,gesetz___wissenschaft,12
Professor,German,wissenschaftler___wissenschaftssystem,12
Professor,German,dauerstelle___jahr,12
PostDoc,German,debatte___wissenschaft,12
Unknown,German,stunde___thema,12
Professor,German,frage___wissenschaft,12
Professor,German,ausland___deutschland,12
PostDoc,German,chance___wissenschaft,12
Others,English,position___year,12
PostDoc,German,jahr___vorschlag,12
Professor,German,vorschlag___wissenschaft,12
Professor,German,vertrag___wissenschaft,12
Unknown,German,studium___uni,12
Unknown,German,arbeit___uni,12
Professor,German,befristung___promotion,12
Professor,English,contract___time,12
PostDoc,German,bundestag___wissenschaft,12
Professor,German,beitrag___wissenschaft,12
Professor,English,germany___work,12
PostDoc,English,system___university,12
Professor,English,germany___term,12
Professor,German,chance___jahr,12
Professor,German,bewerbung___jahr,12
Unknown,German,nachwuchs___wissenschaftler,12
Unknown,German,jahr___tag,12
Others,German,stelle___wissenschaftler,12
Others,German,hanna___jahr,12
PhD Student,English,germany___year,12
Unknown,German,arbeit___zeit,12
Professor,English,career___position,12
PostDoc,German,kollege___wissenschaft,12
Others,German,jahr___tag,12
Unknown,German,arbeitsbedingung___problem,12
Others,German,thema___uni,12
Others,German,jahr___stelle,12
Others,German,hochschule___mitarbeiter,12
Professor,German,grund___wissenschaft,12
Professor,German,monat___vertrag,12
PostDoc,English,academia___scientist,12
Professor,English,postdoc___research,12
Professor,German,forschung___geld,12
Professor,English,germany___job,12
PostDoc,German,jahr___person,12
Professor,German,glück___jahr,12
PostDoc,German,arbeitsvertrag___monat,12
Professor,German,lösung___wissenschaft,11
PostDoc,German,geld___system,11
Others,German,problem___wissenschaftler,11
PostDoc,German,karriere___uni,11
Unknown,German,jahr___universität,11
PostDoc,German,job___uni,11
Unknown,German,job___problem,11
Professor,German,postdoc___zeit,11
Others,German,arbeitsbedingung___deutschland,11
PhD Student,German,jahr___system,11
PostDoc,German,karriere___professur,11
Others,English,career___germany,11
PostDoc,German,karriere___promotion,11
Others,English,career___contract,11
Others,German,arbeitsbedingung___jahr,11
Others,English,contract___science,11
Professor,German,möglichkeit___wissenschaft,11
Others,English,contract___germany,11
PhD Student,German,problem___wissenschaft,11
Others,German,arbeitsbedingung___befristung,11
Unknown,German,leute___problem,11
PostDoc,English,academic___student,11
Others,German,reform___wissenschaft,11
Professor,German,lehre___system,11
PostDoc,English,academic___way,11
Others,German,thema___wissenschaftler,11
PostDoc,German,idee___wissenschaft,11
PostDoc,English,academia___student,11
Others,German,tag___vertrag,11
PostDoc,German,leute___zeit,11
PostDoc,English,career___system,11
Professor,German,postdoc___problem,11
PhD Student,English,academia___year,11
PostDoc,German,hochschule___universität,11
Others,German,bildung___wissenschaft,11
PostDoc,German,hochschule___personal,11
PostDoc,German,jahr___mensch,11
Others,German,arbeit___studium,11
PostDoc,German,hanna___video,11
Unknown,German,jahr___thema,11
PostDoc,German,jahr___professor,11
Professor,German,postdoc___track,11
PostDoc,German,jahr___tag,11
Others,German,stelle___system,11
PD,German,problem___wissenschaft,11
PostDoc,English,condition___contract,11
Professor,German,postdoc___wissenschaft,11
PostDoc,English,contract___position,11
PostDoc,German,glück___jahr,11
Others,German,arbeit___vertrag,11
Professor,German,leute___professur,11
Others,English,job___term,11
Others,English,job___research,11
PhD Student,German,jahr___problem,11
Others,German,situation___uni,11
PostDoc,English,researcher___term,11
PostDoc,English,contract___postdoc,11
Unknown,German,monat___uni,11
Others,German,gesellschaft___wissenschaft,11
Professor,German,ausland___system,11
Professor,German,geld___leute,11
Unknown,German,arbeit___forschung,11
Others,German,jahr___perspektive,11
Professor,German,arbeitsbedingung___wissenschaftssystem,11
Professor,English,position___research,11
PostDoc,English,scholar___time,11
Professor,English,position___work,11
PostDoc,English,researcher___system,11
PostDoc,German,arbeitsbedingung___thema,11
Others,German,forschung___kollege,11
PostDoc,English,research___scholar,11
Professor,German,arbeit___hanna,11
PostDoc,German,drittmittel___uni,11
Professor,German,hanna___vertrag,11
Professor,German,antwort___diskussion,11
Professor,German,hochschule___land,11
PostDoc,German,woche___zeit,11
PostDoc,German,wissenschaftler___wissenschaftlerin,11
Others,German,forschung___stelle,11
Others,German,forschung___problem,11
Professor,German,forschung___wissenschaftssystem,11
Professor,English,job___time,11
PostDoc,German,ausland___jahr,11
Professor,German,bewerbung___zeit,11
Others,German,hochschule___uhr,11
Others,German,hochschule___thema,11
Professor,German,deutschland___wissenschaftler,11
PostDoc,German,bedingung___forschung,11
Professor,English,academia___term,11
Professor,German,deutschland___hochschule,11
Professor,German,forschung___karriere,11
Others,German,beitrag___wissenschaft,11
PostDoc,German,bewerbung___jahr,11
Professor,German,forschung___leute,11
